node,cluster_leiden_r1p0
type,0
plan,1
evidence,2
brain,0
confirm,1
information,3
infertility,0
able,4
accord,2
method,1
month,1
cardiovascular,2
urologist,4
review,6
deliver,1
maybe,4
stay,3
obesity,0
progressively,2
erection,5
drug,0
diabetes,0
smith,4
activity,5
regulate,0
appropriate,1
seek,4
recommendation,2
checker,4
fat,5
try,4
kind,4
trial,2
develop,0
current,2
safety,2
medicine,3
understand,4
injury,0
especially,0
lower,0
note,1
boost,7
perform,1
optimal,1
gain,5
specific,2
late,3
form,1
prescribe,1
suffer,5
statement,2
without,1
day,1
involve,1
professional,3
indicate,2
impact,2
pill,1
shrunken,0
gland,0
exercise,7
typically,1
raise,0
focus,5
fact,3
intricately,5
free,0
cancer,0
maintain,5
step,3
discuss,1
year,2
expert,3
base,1
sleep,5
require,1
general,3
restore,5
stress,5
breast,0
potential,0
early,5
concern,2
different,4
example,0
come,4
offer,1
specialist,3
depend,1
talk,4
injection,1
quality,5
menopause,5
key,5
depression,5
woman,0
weight,7
diagnosis,2
gel,1
research,3
hair,0
pituitary,0
people,4
testis,0
consider,2
diabete,0
overall,5
testicle,0
significant,2
sign,5
question,4
prostate,0
suggest,2
measure,2
vary,2
check,4
aging,5
right,4
avoid,1
follow,2
decline,5
feel,4
look,4
tell,4
work,4
associate,2
lot,4
lack,5
way,4
common,0
manage,5
individual,1
benefit,2
provide,1
think,4
role,5
hormonal,0
term,2
clinic,3
disease,0
effective,1
old,5
function,0
factor,5
haul,4
know,4
great,4
balance,1
primary,0
loss,5
total,2
naturally,0
mean,4
medication,1
physical,5
sex,5
contact,1
lead,0
issue,5
natural,0
storage,5
libido,5
study,2
thing,4
care,3
sexual,5
mass,5
treat,2
deficiency,2
bone,5
healthy,7
reduce,5
time,4
muscle,5
heart,2
process,1
range,2
produce,0
affect,0
decrease,5
certain,0
diagnose,2
fatigue,5
energy,5
option,1
improve,5
effect,1
mood,5
find,4
provider,1
start,4
normal,0
long,1
good,4
use,0
life,5
problem,0
hypogonadism,6
erectile,5
relate,2
risk,2
experience,5
dysfunction,5
production,0
body,5
doctor,4
test,0
lifestyle,5
change,5
age,5
therapy,2
like,4
increase,2
medical,3
result,2
male,6
high,0
help,4
condition,0
replacement,3
need,1
patient,2
important,4
drive,5
symptom,5
health,3
blood,0
hormone,0
include,0
cause,0
trt,1
not,4
treatment,1
man,2
level,0
low,5
testosterone,2
